ime,oznaka,rang,cena,sprememba_1h,sprememba_24h,sprememba_7d,trzna_vrednost,obseg_24h,ponudba_v_obtoku
Bitcoin,BTC,1,116748.55291614753,-0.02412078,0.35364233,3.0466079,2323767867185.117,55302332364.01465,19904040.0
Ethereum,ETH,2,4216.204141134225,-0.23763151,5.81050491,21.28900211,508934217664.9801,45048830161.142715,120709102.46012633
XRP,XRP,3,3.2856805825705564,0.12855991,0.72103415,14.83936657,194868412017.37338,5853649461.080026,59308385925.0
Tether USDt,USDT,4,1.0002612317944237,0.01106885,0.02453311,0.04598217,164530386326.8578,108237656620.21829,164487416983.759
BNB,BNB,5,806.0649063260371,-0.14757827,2.12715655,7.61919163,112275183971.45297,2260074160.3186026,139288018.98
Solana,SOL,6,180.94145992746428,0.14984088,2.30630246,11.66168488,97569113469.04646,5400621715.313405,539230276.5113088
USDC,USDC,7,0.9999601972175233,0.00252266,0.00574763,0.01140293,65297313173.6375,11969012140.345196,65299912291.84219
Dogecoin,DOGE,8,0.2432185784344848,-0.25797969,8.2255504,23.48821422,36591922926.137764,3082931254.5545483,150448716383.7052
TRON,TRX,9,0.33603799981420274,0.15445742,-0.87845753,4.49488417,31822108549.26306,627623634.8388302,94697946562.16762
Cardano,ADA,10,0.815162144568682,0.29611183,3.13548044,15.63242429,28879017490.366096,964344471.3997724,35427329007.833824
Hyperliquid,HYPE,11,44.042494738217165,0.70453468,8.26790915,17.50408154,14707030110.592434,303789037.7049769,333928180.0
Chainlink,LINK,12,21.137269703748025,-0.51062199,9.83634528,32.94994206,14333181961.56412,1347930502.5297139,678099970.4527867
Stellar,XLM,13,0.4510295148883349,-0.01416901,0.91050243,20.97375175,14109486694.843401,414424817.41449827,31282845643.34244
Sui,SUI,14,3.940256927718624,-0.23822128,3.58645365,16.35090479,13837884760.25031,1232683583.0691075,3511924479.5699987
Bitcoin Cash,BCH,15,570.738832504815,0.08433601,-2.1199788,6.88118593,11362900057.339315,402811631.4196931,19909106.25
Hedera,HBAR,16,0.26569114370817837,0.43864712,2.31556655,14.11280824,11263358548.918247,330207406.0380236,42392675915.79698
Avalanche,AVAX,17,24.335876439727038,0.08131809,3.71992861,14.43576155,10276439171.214678,636713222.3020749,422275285.48916084
Ethena USDe,USDe,18,1.0009100556467259,-0.00272049,0.03388874,0.03786998,10083106344.958937,252074106.03414404,10073938500.34193
Litecoin,LTC,19,121.98292499430147,0.00567145,-0.85195925,14.21756925,9291220069.50059,858285256.1332673,76168201.98347135
Toncoin,TON,20,3.476106324390589,0.89706276,3.1565784,-4.46920058,8919372327.05581,287395934.8205234,2565908949.467909
UNUS SED LEO,LEO,21,8.977429460904887,0.01292507,-0.09582134,0.18566507,8286545341.297771,2196627.92468153,923042099.9
Shiba Inu,SHIB,22,1.3836256833045704e-05,-0.25188989,5.86626829,15.64995996,8152960731.806486,254548033.59886533,589246125609235.1
Uniswap,UNI,23,10.90733998039629,0.13791829,0.96076372,22.20036976,6857879158.214818,585607732.9747827,628739836.71
Polkadot,DOT,24,4.114411728634006,0.16375208,4.74953047,16.58210354,6606287548.315307,305217010.4609868,1605645711.7160244
Dai,DAI,25,1.000112919221695,0.00033543,-0.00420503,0.01870313,5365988557.503753,22459671762.191315,5365382702.664872
Pepe,PEPE,26,1.2337550989532407e-05,-0.27547275,7.52213764,20.28283721,5190283087.7568655,1111596119.3380759,420689899653543.56
Bitget Token,BGB,27,4.51164920618355,0.14091107,0.76918592,5.75501566,5143244164.17928,94559588.87311119,1139992035.9787908
Cronos,CRO,28,0.15725526977042248,-0.19776224,2.66386972,22.75546445,5091133621.262254,58772811.78606436,32374963514.385353
Monero,XMR,29,272.15759528205786,0.45001371,-0.67961598,-7.2153734,5020421507.884343,112607719.99709392,18446744.07370955
Ethena,ENA,30,0.7572902369750582,1.56217709,20.06318182,40.89894734,5014681287.9692135,1528670896.733698,6621875000.0
Aave,AAVE,31,304.5423877881924,0.00357559,6.20647362,20.56083492,4632388777.543241,527468052.7740877,15210981.99560004
Bittensor,TAO,32,388.293583208041,0.07975089,5.65603158,14.76981939,3726644170.1969247,126019253.76633036,9597491.0
Ethereum Classic,ETC,33,23.25042330944042,-0.02811515,4.59003519,18.46463039,3558400439.2763085,317535683.0522599,153046694.7598104
